Country,Event_Next_Year
USA,Yes
Australia,No
Japan,Yes
Russia,No
Saudi Arabia,Yes
UK,Yes
Canada,No
Germany,Yes
China,No
Brazil,Yes
France,Yes
South Korea,No
Italy,No
South Africa,Yes
Nepal,No
Maldives,No
Sri Lanka,No
Bangladesh,Yes
Bhutan,No
Singapore,Yes
Indonesia,Yes
Vietnam,No
Myanmar,No
Iran,Yes
UAE,Yes
Oman,No
Qatar,Yes
Kuwait,No
Israel,Yes
Switzerland,Yes
Sweden,No
Norway,Yes
Denmark,Yes
Netherlands,Yes
Belgium,No
Spain,Yes
Greece,No
Turkey,Yes
Argentina,Yes
Chile,No
Mexico,Yes
Colombia,No
Egypt,Yes
Nigeria,Yes
Kenya,No
Ethiopia,Yes
Tanzania,No
Zambia,No
Zimbabwe,No
